Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Precious Achiuwa,C,23,TOR,40,11,22.7,3.8,7.9,.479,0.5,2.0,.256,3.3,5.9,.553,.511,1.8,2.7,.689,2.0,4.4,6.4,1.0,0.6,0.7,1.2,2.1,9.9
Steven Adams,C,29,MEM,42,42,27.0,3.7,6.3,.597,0.0,0.0,.000,3.7,6.2,.599,.597,1.1,3.1,.364,5.1,6.5,11.5,2.3,0.9,1.1,1.9,2.3,8.6
Bam Adebayo,C,25,MIA,59,59,35.0,8.4,15.6,.536,0.0,0.2,.083,8.4,15.4,.542,.536,4.4,5.5,.805,2.6,7.1,9.7,3.2,1.2,0.8,2.5,2.8,21.2
Ochai Agbaji,SG,22,UTA,41,4,16.0,1.9,4.1,.464,1.0,2.6,.383,0.9,1.5,.607,.586,0.4,0.5,.682,0.7,1.1,1.8,0.6,0.2,0.1,0.4,1.5,5.2
Santi Aldama,PF,22,MEM,59,18,21.9,3.3,6.9,.472,1.3,3.6,.358,2.0,3.3,.598,.566,1.3,1.8,.725,1.0,3.6,4.6,1.2,0.7,0.7,0.7,1.9,9.2
Nickeil Alexander-Walker,SG,24,TOT,42,3,14.7,2.3,4.9,.478,1.0,2.5,.417,1.3,2.4,.539,.583,0.6,1.0,.675,0.2,1.4,1.7,2.0,0.6,0.4,1.2,1.5,6.3
Nickeil Alexander-Walker,SG,24,UTA,36,3,14.7,2.3,4.7,.488,1.0,2.4,.402,1.3,2.3,.578,.591,0.8,1.1,.692,0.2,1.4,1.6,2.1,0.7,0.4,1.3,1.6,6.3
Nickeil Alexander-Walker,SG,24,MIN,6,0,14.7,2.5,5.8,.429,1.3,2.7,.500,1.2,3.2,.368,.543,0.0,0.2,.000,0.3,1.5,1.8,1.2,0.3,0.5,0.7,1.0,6.3
Grayson Allen,SG,27,MIL,58,56,27.6,3.4,7.7,.442,2.0,5.0,.405,1.4,2.7,.509,.573,1.7,1.8,.897,0.9,2.4,3.4,2.4,0.8,0.2,1.1,1.7,10.5
Jarrett Allen,C,24,CLE,58,58,33.3,6.1,9.4,.652,0.0,0.2,.111,6.1,9.2,.661,.653,2.4,3.3,.731,3.2,6.7,9.9,1.6,0.8,1.2,1.4,2.2,14.7
Jose Alvarado,PG,24,NOP,61,10,21.5,3.3,8.0,.411,1.4,4.0,.336,1.9,4.0,.488,.496,1.1,1.3,.813,0.5,1.9,2.3,3.0,1.1,0.2,1.3,2.0,9.0
Kyle Anderson,PF,29,MIN,52,36,26.4,3.2,6.4,.503,0.6,1.4,.417,2.6,5.0,.527,.548,1.7,2.2,.768,0.8,4.1,4.9,4.1,1.2,0.8,1.4,2.2,8.7
Giannis Antetokounmpo,PF,28,MIL,50,50,32.3,11.2,20.7,.541,0.8,2.9,.286,10.3,17.7,.584,.561,8.1,12.5,.645,2.2,9.7,12.0,5.4,0.7,0.8,3.9,3.3,31.3
Thanasis Antetokounmpo,SF,30,MIL,28,0,4.0,0.2,0.8,.273,0.0,0.2,.000,0.2,0.6,.353,.273,0.1,0.3,.500,0.3,0.7,1.0,0.1,0.1,0.1,0.3,0.5,0.6
Cole Anthony,PG,22,ORL,44,3,25.0,4.3,9.6,.447,1.1,3.3,.340,3.2,6.3,.502,.505,2.6,2.9,.883,0.6,3.9,4.5,4.1,0.6,0.6,1.5,2.5,12.2
OG Anunoby,SF,25,TOR,50,50,35.8,6.1,13.5,.456,1.9,5.2,.362,4.3,8.3,.516,.526,2.4,2.9,.828,1.5,3.9,5.4,2.0,2.0,0.8,2.2,3.1,16.6
Ryan Arcidiacono,PG,28,TOT,14,1,4.9,0.3,1.0,.286,0.3,0.6,.444,0.0,0.4,.000,.429,0.0,0.0,0,0.0,0.7,0.7,0.6,0.1,0.0,0.2,0.4,0.9
Ryan Arcidiacono,PG,28,NYK,11,0,2.4,0.1,0.5,.200,0.1,0.3,.333,0.0,0.2,.000,.300,0.0,0.0,0,0.0,0.4,0.4,0.2,0.2,0.0,0.1,0.3,0.3
Ryan Arcidiacono,PG,28,POR,3,1,14.3,1.0,3.0,.333,1.0,2.0,.500,0.0,1.0,.000,.500,0.0,0.0,0,0.0,2.0,2.0,2.0,0.0,0.0,0.7,1.0,3.0
Deni Avdija,SF,22,WAS,60,34,26.4,3.2,7.5,.432,0.9,3.0,.287,2.4,4.4,.530,.490,1.7,2.2,.750,1.1,5.3,6.4,2.5,0.9,0.5,1.4,2.8,9.0
Deandre Ayton,C,24,PHO,55,55,30.3,8.0,13.6,.592,0.1,0.4,.304,7.9,13.2,.601,.596,2.3,3.0,.743,2.7,7.4,10.1,2.0,0.6,0.8,1.9,2.9,18.5
Udoka Azubuike,C,23,UTA,26,0,5.9,0.9,1.1,.828,0.0,0.0,0,0.9,1.1,.828,.828,0.1,0.3,.250,0.6,1.5,2.2,0.2,0.2,0.3,0.4,0.5,1.9
Marvin Bagley III,C,23,DET,28,13,21.5,4.6,8.6,.535,0.3,1.3,.243,4.3,7.3,.588,.554,1.7,2.4,.716,2.5,4.2,6.7,0.6,0.5,0.7,0.9,2.0,11.3
Patrick Baldwin Jr.,SF,20,GSW,21,0,8.8,1.8,4.2,.432,1.4,3.2,.433,0.4,1.0,.429,.597,0.2,0.3,.667,0.0,1.5,1.6,0.3,0.3,0.1,0.4,0.5,5.2
LaMelo Ball,PG,21,CHO,36,36,35.2,8.2,20.0,.411,4.0,10.6,.376,4.2,9.4,.450,.510,2.8,3.4,.836,1.2,5.3,6.4,8.4,1.3,0.3,3.6,3.3,23.3
Mo Bamba,C,24,TOT,46,7,16.5,2.5,5.1,.492,1.0,2.7,.393,1.5,2.5,.596,.593,0.9,1.3,.661,1.2,3.6,4.8,1.0,0.3,0.9,0.7,2.2,7.0
Mo Bamba,C,24,ORL,40,6,17.0,2.7,5.4,.495,1.1,2.7,.398,1.6,2.7,.594,.596,0.9,1.3,.686,1.2,3.4,4.6,1.1,0.3,1.0,0.6,2.2,7.3
Mo Bamba,C,24,LAL,6,1,13.2,1.7,3.7,.455,0.8,2.3,.357,0.8,1.3,.625,.568,1.0,1.8,.545,1.2,4.7,5.8,0.7,0.2,0.7,1.3,2.7,5.2
Paolo Banchero,PF,20,ORL,57,57,33.7,6.6,15.6,.422,1.1,4.1,.273,5.5,11.5,.474,.457,5.6,7.4,.752,1.1,5.5,6.6,3.6,0.9,0.5,2.7,2.2,19.9
Desmond Bane,SG,24,MEM,40,40,31.0,7.5,16.0,.470,3.0,7.1,.418,4.6,8.9,.511,.562,3.3,3.6,.903,0.8,4.3,5.1,4.0,1.0,0.4,2.1,2.4,21.3
Dalano Banton,PG,23,TOR,27,2,9.3,1.7,4.1,.411,0.5,1.7,.283,1.2,2.4,.500,.469,0.6,0.7,.789,0.3,1.0,1.3,1.1,0.5,0.4,0.6,1.1,4.4
Dominick Barlow,SF,19,SAS,12,0,9.7,1.2,2.2,.538,0.0,0.3,.000,1.2,1.8,.636,.538,0.8,0.8,.900,1.3,1.2,2.4,0.7,0.2,0.3,0.5,1.8,3.1
Harrison Barnes,PF,30,SAC,62,62,32.8,4.6,9.7,.473,1.6,4.4,.374,2.9,5.3,.557,.558,4.2,5.0,.842,1.0,3.7,4.7,1.6,0.7,0.1,1.1,1.3,15.0
Scottie Barnes,PF,21,TOR,61,60,35.3,6.0,13.3,.450,0.9,3.1,.302,5.0,10.2,.495,.485,2.6,3.3,.765,2.4,4.6,7.0,4.8,1.0,0.9,2.0,2.3,15.4
RJ Barrett,SG,22,NYK,58,58,33.9,6.9,16.0,.431,1.8,5.3,.330,5.1,10.6,.481,.486,3.9,5.2,.751,0.9,4.2,5.1,2.8,0.5,0.2,2.3,2.6,19.4
Will Barton,SG,32,TOT,42,0,18.9,2.6,6.9,.382,1.2,3.3,.371,1.4,3.5,.392,.472,0.8,1.1,.778,0.2,2.4,2.6,2.3,0.4,0.2,1.1,0.9,7.3
Will Barton,SG,32,WAS,40,0,19.6,2.8,7.1,.386,1.3,3.5,.377,1.5,3.7,.395,.477,0.9,1.1,.778,0.3,2.5,2.8,2.4,0.4,0.3,1.1,1.0,7.7
Will Barton,SG,32,TOR,2,0,5.5,0.0,1.5,.000,0.0,1.0,.000,0.0,0.5,.000,.000,0.0,0.0,0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0
Charles Bassey,C,22,SAS,30,1,14.2,2.2,3.5,.632,0.1,0.2,.429,2.1,3.3,.646,.646,0.7,1.1,.625,2.2,3.5,5.6,1.3,0.4,1.0,1.2,2.0,5.2
Keita Bates-Diop,SF,27,SAS,49,27,21.0,3.1,6.4,.487,0.6,1.7,.346,2.6,4.8,.536,.532,1.5,1.9,.791,1.0,2.5,3.5,1.3,0.7,0.3,0.8,1.0,8.3
Nicolas Batum,PF,34,LAC,62,12,22.2,2.1,5.0,.424,1.6,4.1,.389,0.5,0.9,.579,.583,0.5,0.7,.667,0.9,3.3,4.2,1.5,0.7,0.7,0.7,2.0,6.3
Darius Bazley,PF,22,TOT,37,1,15.2,1.9,4.3,.450,0.5,1.2,.391,1.5,3.1,.474,.506,1.0,1.8,.554,0.8,2.6,3.4,0.9,0.5,0.8,0.6,1.0,5.4
Darius Bazley,PF,22,OKC,36,1,15.4,2.0,4.4,.449,0.5,1.3,.400,1.5,3.1,.469,.506,1.0,1.8,.554,0.8,2.6,3.4,0.9,0.5,0.8,0.6,1.0,5.4
Darius Bazley,PF,22,PHO,1,0,7.0,1.0,2.0,.500,0.0,1.0,.000,1.0,1.0,1.000,.500,0.0,0.0,0,0.0,3.0,3.0,1.0,1.0,1.0,0.0,3.0,2.0
Bradley Beal,SG,29,WAS,40,40,33.1,8.8,17.1,.514,1.7,4.6,.377,7.1,12.5,.564,.564,3.6,4.3,.838,0.8,2.8,3.6,5.4,0.9,0.6,2.8,1.9,22.9
Malik Beasley,SG,26,TOT,63,19,26.7,4.8,12.2,.396,3.1,8.6,.359,1.7,3.6,.485,.523,0.6,0.8,.796,0.5,3.1,3.6,1.7,0.9,0.1,1.1,1.5,13.3
Malik Beasley,SG,26,UTA,55,13,26.8,4.8,12.2,.396,3.1,8.6,.359,1.7,3.6,.485,.522,0.7,0.8,.841,0.5,3.1,3.6,1.7,0.8,0.1,1.1,1.4,13.4
Malik Beasley,SG,26,LAL,8,6,26.5,4.9,12.3,.398,3.1,8.6,.362,1.8,3.6,.483,.526,0.3,0.6,.400,0.3,3.5,3.8,1.6,1.5,0.0,1.4,2.1,13.1
MarJon Beauchamp,SF,22,MIL,41,9,14.0,2.0,5.0,.390,0.9,2.9,.317,1.0,2.1,.494,.483,0.5,0.7,.724,0.8,1.4,2.2,0.6,0.4,0.1,0.9,1.5,5.3
Dāvis Bertāns,PF,30,DAL,34,0,10.6,1.4,3.3,.423,1.1,2.9,.381,0.3,0.4,.714,.590,0.3,0.4,.833,0.2,0.8,0.9,0.4,0.2,0.1,0.3,1.1,4.1
Patrick Beverley,PG,34,TOT,50,50,27.0,2.1,5.2,.402,1.1,3.4,.333,1.0,1.8,.533,.511,0.9,1.2,.721,0.6,2.8,3.4,2.8,0.9,0.6,0.9,2.7,6.2
Patrick Beverley,PG,34,LAL,45,45,26.9,2.2,5.4,.402,1.2,3.5,.348,0.9,1.8,.506,.517,0.9,1.1,.780,0.5,2.6,3.1,2.6,0.9,0.6,0.9,2.8,6.4
Patrick Beverley,PG,34,CHI,5,5,28.0,1.6,4.0,.400,0.4,2.6,.154,1.2,1.4,.857,.450,1.0,2.2,.455,1.4,4.4,5.8,4.2,0.8,0.8,0.8,2.4,4.6
Saddiq Bey,SF,23,TOT,58,32,28.4,4.6,11.2,.407,2.0,5.5,.358,2.6,5.7,.455,.495,3.2,3.7,.860,1.2,3.5,4.6,1.5,0.9,0.2,1.0,1.7,14.3
Saddiq Bey,SF,23,DET,52,30,28.8,4.7,11.7,.404,1.9,5.6,.345,2.8,6.0,.460,.488,3.5,4.0,.861,1.1,3.5,4.7,1.6,1.0,0.2,1.0,1.7,14.8
Saddiq Bey,SF,23,ATL,6,2,25.0,3.3,7.5,.444,2.3,4.7,.500,1.0,2.8,.353,.600,0.7,0.8,.800,1.3,3.2,4.5,0.8,0.7,0.2,0.7,1.7,9.7
Khem Birch,C,30,TOR,20,0,8.1,1.0,1.6,.594,0.1,0.1,.500,0.9,1.5,.600,.609,0.2,0.3,.800,0.4,0.9,1.3,0.4,0.3,0.3,0.4,1.2,2.2
Goga Bitadze,C,23,TOT,23,0,9.4,1.3,2.5,.526,0.2,0.7,.313,1.1,1.8,.610,.570,0.6,1.1,.500,1.2,1.3,2.5,0.8,0.4,0.4,0.5,1.5,3.4
Goga Bitadze,C,23,IND,21,0,9.6,1.3,2.5,.519,0.2,0.7,.286,1.1,1.8,.605,.558,0.5,1.1,.458,1.2,1.1,2.3,0.9,0.4,0.5,0.6,1.6,3.3
Goga Bitadze,C,23,ORL,2,0,7.0,1.5,2.5,.600,0.5,1.0,.500,1.0,1.5,.667,.700,1.0,1.0,1.000,1.0,3.0,4.0,0.5,0.0,0.0,0.0,0.5,4.5
Bismack Biyombo,C,30,PHO,46,9,14.0,1.7,3.0,.572,0.0,0.0,0,1.7,3.0,.572,.572,0.3,1.1,.314,1.1,3.0,4.1,0.9,0.3,1.3,0.9,1.8,3.8
Buddy Boeheim,PG,23,DET,1,0,1.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bogdan Bogdanović,SG,30,ATL,38,5,29.2,5.3,12.1,.437,2.8,6.9,.398,2.5,5.2,.490,.551,1.1,1.4,.796,0.4,2.9,3.3,2.9,0.8,0.4,1.2,1.7,14.5
Bojan Bogdanović,PF,33,DET,59,59,32.1,7.3,14.9,.488,2.5,6.0,.411,4.8,9.0,.539,.570,4.5,5.1,.884,0.6,3.2,3.8,2.6,0.6,0.1,2.3,1.9,21.6
Bol Bol,PF,23,ORL,59,32,22.5,4.0,7.0,.575,0.5,1.5,.315,3.6,5.5,.646,.609,1.2,1.6,.745,1.1,4.9,6.0,0.9,0.4,1.3,1.7,1.3,9.7
Leandro Bolmaro,SG,22,UTA,14,0,4.9,0.2,1.4,.150,0.0,0.3,.000,0.2,1.1,.188,.150,0.0,0.0,0,0.3,0.2,0.5,0.5,0.2,0.1,0.5,0.7,0.4
Devin Booker,SG,26,PHO,37,37,34.1,9.7,20.4,.477,2.3,6.3,.361,7.5,14.1,.530,.533,5.2,6.3,.836,0.8,3.8,4.6,5.7,0.8,0.4,2.4,2.8,27.0
Brandon Boston Jr.,SG,21,LAC,21,1,11.8,2.4,5.8,.421,0.6,1.4,.414,1.9,4.4,.424,.471,1.4,1.8,.763,0.3,1.0,1.4,0.9,0.4,0.0,0.6,1.0,6.8
Chris Boucher,PF,30,TOR,58,0,20.5,3.5,7.1,.493,0.9,2.6,.333,2.6,4.5,.584,.553,1.8,2.5,.743,2.2,3.6,5.8,0.4,0.7,0.9,0.5,1.9,9.7
James Bouknight,SG,22,CHO,26,0,13.6,1.5,4.7,.328,0.6,2.5,.250,0.9,2.2,.414,.393,0.6,0.8,.682,0.2,1.8,2.0,1.1,0.5,0.2,0.7,1.1,4.3
Jamaree Bouyea,PG,23,MIA,4,0,16.3,1.5,3.3,.462,0.5,1.3,.400,1.0,2.0,.500,.538,0.3,0.5,.500,0.3,1.0,1.3,1.0,1.0,0.5,1.0,1.3,3.8
Tony Bradley,C,25,CHI,12,0,2.8,0.5,1.0,.500,0.3,0.4,.600,0.3,0.6,.429,.625,0.3,0.3,1.000,0.1,0.8,0.9,0.1,0.1,0.1,0.1,0.2,1.6
Malaki Branham,SF,19,SAS,49,16,22.5,3.7,8.4,.444,1.1,3.6,.309,2.6,4.7,.547,.511,0.8,1.0,.792,0.4,1.9,2.3,2.0,0.5,0.1,1.1,1.7,9.3
Christian Braun,SG,21,DEN,59,3,14.8,1.7,3.4,.502,0.4,1.1,.391,1.3,2.3,.555,.565,0.4,0.7,.605,0.7,1.6,2.3,0.8,0.4,0.2,0.4,1.2,4.3
Mikal Bridges,SF,26,TOT,64,64,36.1,6.6,14.0,.473,1.9,4.7,.402,4.7,9.3,.509,.541,3.1,3.5,.901,1.1,3.4,4.5,3.5,1.2,0.8,1.4,2.0,18.2
Mikal Bridges,SF,26,PHO,56,56,36.4,6.3,13.6,.463,1.8,4.7,.387,4.5,9.0,.503,.529,2.8,3.1,.897,1.0,3.3,4.3,3.6,1.2,0.8,1.4,2.1,17.2
Mikal Bridges,SF,26,BRK,8,8,34.0,8.6,16.3,.531,2.5,5.0,.500,6.1,11.3,.544,.608,5.5,6.0,.917,1.6,4.0,5.6,3.3,1.3,0.6,1.8,2.0,25.3
Oshae Brissett,SF,24,IND,49,1,16.0,1.7,4.5,.388,0.8,2.4,.333,0.9,2.1,.451,.477,1.2,1.8,.693,0.9,2.5,3.4,0.5,0.6,0.2,0.4,1.3,5.5
Malcolm Brogdon,PG,30,BOS,54,0,25.4,5.1,10.5,.488,2.0,4.4,.460,3.1,6.1,.508,.584,2.3,2.6,.887,0.6,3.5,4.1,3.7,0.6,0.3,1.6,1.6,14.6
Dillon Brooks,SF,27,MEM,57,57,30.3,5.4,13.9,.389,1.8,5.8,.319,3.6,8.1,.439,.456,1.8,2.2,.794,0.6,2.6,3.3,2.5,0.9,0.2,1.5,3.3,14.4
Bruce Brown,SG,26,DEN,63,28,28.5,4.4,9.1,.489,1.3,3.4,.382,3.1,5.6,.554,.561,1.0,1.4,.722,0.7,3.2,3.9,3.5,1.0,0.6,1.6,2.3,11.2
Greg Brown III,PF,21,POR,16,0,5.8,0.7,1.8,.393,0.1,0.4,.143,0.6,1.3,.476,.411,0.3,0.8,.417,0.1,1.1,1.2,0.2,0.3,0.3,0.4,0.8,1.8
Jaylen Brown,SF,26,BOS,52,52,35.9,9.9,20.3,.487,2.5,7.5,.338,7.4,12.9,.573,.549,4.2,5.4,.772,1.2,5.7,6.9,3.3,1.2,0.4,3.0,2.7,26.5
Kendall Brown,SG,19,IND,6,0,6.7,0.7,1.2,.571,0.0,0.2,.000,0.7,1.0,.667,.571,0.2,0.3,.500,0.3,0.7,1.0,0.5,0.7,0.0,0.3,1.5,1.5
Moses Brown,C,23,LAC,34,1,8.5,1.8,2.8,.635,0.0,0.0,0,1.8,2.8,.635,.635,1.0,2.1,.458,1.7,2.4,4.1,0.1,0.1,0.4,0.4,1.1,4.6
Sterling Brown,SG,27,LAL,4,0,6.0,0.0,1.0,.000,0.0,0.5,.000,0.0,0.5,.000,.000,0.0,0.0,0,0.8,1.3,2.0,0.5,0.8,0.0,0.0,1.0,0.0
Troy Brown Jr.,SF,23,LAL,58,34,24.2,2.7,6.1,.437,1.3,3.5,.366,1.4,2.6,.533,.542,0.5,0.5,.964,0.9,3.3,4.2,1.1,0.8,0.2,0.7,1.6,7.1
Jalen Brunson,PG,26,NYK,61,61,35.2,8.5,17.5,.487,1.9,4.7,.411,6.6,12.8,.515,.542,4.9,5.9,.833,0.6,3.0,3.6,6.2,0.9,0.2,2.0,2.3,23.9
Thomas Bryant,C,25,TOT,49,25,19.9,4.3,6.7,.635,0.4,1.0,.431,3.8,5.7,.673,.669,1.9,2.6,.736,1.6,4.8,6.4,0.6,0.3,0.6,0.7,1.9,10.9
Thomas Bryant,C,25,LAL,41,25,21.4,4.8,7.3,.654,0.5,1.2,.440,4.3,6.1,.697,.691,2.0,2.6,.741,1.6,5.2,6.8,0.7,0.3,0.6,0.7,1.9,12.1
Thomas Bryant,C,25,DEN,8,0,12.5,1.5,3.5,.429,0.0,0.1,.000,1.5,3.4,.444,.429,1.5,2.1,.706,1.4,3.0,4.4,0.0,0.3,0.6,0.8,1.9,4.5
Reggie Bullock,SF,31,DAL,62,39,30.5,2.4,6.0,.402,1.9,5.1,.382,0.5,0.9,.509,.563,0.4,0.6,.686,0.5,3.0,3.5,1.4,0.8,0.2,0.5,2.3,7.1
Alec Burks,SG,31,DET,50,7,22.0,3.9,9.0,.440,1.9,4.6,.416,2.0,4.3,.465,.547,3.0,3.7,.814,0.4,2.7,3.0,2.2,0.7,0.1,1.1,1.9,12.8
Deonte Burton,SG,29,SAC,2,0,3.0,0.0,1.0,.000,0.0,0.5,.000,0.0,0.5,.000,.000,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jared Butler,SG,22,OKC,1,0,4.0,0.0,1.0,.000,0.0,0.0,0,0.0,1.0,.000,.000,0.0,0.0,0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Jimmy Butler,SF,33,MIA,49,49,33.3,7.2,13.9,.519,0.5,1.6,.325,6.7,12.2,.545,.538,7.1,8.3,.848,2.3,3.7,5.9,5.0,2.0,0.3,1.7,1.2,22.0
John Butler,C,20,POR,9,0,3.3,0.1,0.6,.200,0.0,0.4,.000,0.1,0.1,1.000,.200,0.0,0.0,0,0.1,0.1,0.2,0.1,0.1,0.3,0.0,0.2,0.2
Jamal Cain,SF,23,MIA,14,0,13.3,1.9,3.6,.520,0.1,0.9,.167,1.7,2.7,.632,.540,0.9,1.1,.750,0.9,1.9,2.8,0.6,0.6,0.0,0.3,1.1,4.7
Kentavious Caldwell-Pope,SG,29,DEN,61,61,31.4,4.0,8.4,.480,1.9,4.3,.450,2.1,4.2,.510,.593,1.4,1.7,.833,0.5,2.4,2.8,2.4,1.4,0.4,1.2,2.0,11.4
Facundo Campazzo,PG,31,DAL,8,0,6.5,0.4,1.6,.231,0.4,1.4,.273,0.0,0.3,.000,.346,0.1,0.3,.500,0.0,0.3,0.3,1.1,0.8,0.0,0.4,0.4,1.3
Vlatko Čančar,PF,25,DEN,48,8,16.5,2.1,4.3,.498,0.9,2.1,.412,1.3,2.1,.583,.600,0.6,0.7,.938,0.5,1.9,2.4,1.5,0.4,0.3,0.7,1.6,5.8
Clint Capela,C,28,ATL,47,45,26.7,5.4,8.6,.628,0.0,0.0,.000,5.4,8.6,.630,.628,1.1,1.9,.589,4.2,7.1,11.3,0.9,0.7,1.3,0.8,2.1,12.0
Vernon Carey Jr.,C,21,WAS,11,0,2.5,0.2,0.7,.250,0.0,0.0,0,0.2,0.7,.250,.250,0.2,0.2,1.000,0.3,0.7,1.0,0.3,0.2,0.2,0.2,0.5,0.5
Jevon Carter,PG,27,MIL,62,33,22.6,2.8,6.6,.427,1.6,3.8,.411,1.3,2.8,.448,.545,0.4,0.5,.794,0.5,2.2,2.7,2.5,1.0,0.4,1.1,2.0,7.6
Wendell Carter Jr.,C,23,ORL,44,41,29.6,5.5,10.6,.517,1.2,3.6,.344,4.3,7.1,.605,.575,2.8,3.8,.743,2.3,6.5,8.8,2.5,0.4,0.6,2.2,3.0,15.0
Alex Caruso,PG,28,CHI,54,23,24.1,1.9,4.3,.437,0.9,2.3,.371,1.0,2.0,.514,.537,0.9,1.2,.810,0.6,2.6,3.1,3.2,1.6,0.6,1.3,2.5,5.5
Julian Champagnie,SF,21,PHI,2,0,3.5,0.0,1.0,.000,0.0,0.5,.000,0.0,0.5,.000,.000,0.0,0.0,0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0
Justin Champagnie,SF,21,TOR,3,0,3.7,1.0,1.0,1.000,0.0,0.0,0,1.0,1.0,1.000,1.000,0.0,0.0,0,0.3,1.0,1.3,0.3,0.0,0.0,0.0,0.3,2.0
Kennedy Chandler,PG,20,MEM,27,0,8.5,1.0,2.5,.397,0.1,0.5,.143,0.9,2.0,.463,.412,0.2,0.4,.455,0.3,0.9,1.2,1.7,0.4,0.2,0.6,0.5,2.3
Max Christie,SG,19,LAL,37,3,13.7,1.2,2.8,.419,0.7,1.7,.419,0.5,1.2,.419,.543,0.4,0.4,.875,0.2,1.8,2.0,0.5,0.2,0.2,0.4,0.9,3.5
Josh Christopher,SG,21,HOU,44,1,10.8,2.0,4.3,.458,0.3,1.2,.259,1.7,3.1,.537,.495,0.6,0.9,.718,0.3,0.9,1.2,1.0,0.4,0.2,0.9,0.8,4.9
Brandon Clarke,PF,26,MEM,56,8,19.5,4.1,6.2,.656,0.0,0.1,.167,4.1,6.1,.665,.658,1.8,2.4,.723,1.6,3.9,5.5,1.3,0.6,0.7,1.0,2.3,10.0
Jordan Clarkson,SG,30,UTA,60,60,32.6,7.5,16.9,.445,2.6,7.6,.341,5.0,9.4,.528,.521,3.2,4.0,.819,1.2,2.9,4.0,4.3,0.5,0.2,3.1,2.0,20.9
Nic Claxton,C,23,BRK,59,59,29.3,5.3,7.5,.706,0.0,0.0,.000,5.3,7.5,.709,.706,1.7,3.3,.516,2.4,6.6,9.0,1.7,0.8,2.5,1.3,2.7,12.3
Amir Coffey,SG,25,LAC,43,9,13.7,1.3,3.3,.383,0.2,0.9,.263,1.0,2.4,.427,.418,1.0,1.3,.789,0.4,0.8,1.2,1.2,0.2,0.1,0.4,1.2,3.8
John Collins,PF,25,ATL,53,53,30.8,5.1,10.0,.509,0.8,3.2,.251,4.3,6.8,.628,.549,2.0,2.5,.818,1.1,5.8,6.9,1.2,0.6,1.2,1.2,3.2,13.0
Zach Collins,C,25,SAS,52,15,21.7,4.0,7.7,.520,0.7,1.9,.351,3.3,5.8,.574,.563,1.6,2.2,.750,1.8,4.2,6.0,2.7,0.5,0.7,1.9,3.2,10.3
Mike Conley,PG,35,TOT,50,49,29.8,3.5,8.7,.407,1.8,5.0,.361,1.7,3.7,.468,.510,1.6,2.0,.812,0.4,2.2,2.6,7.4,1.1,0.2,1.7,2.1,10.5
Mike Conley,PG,35,UTA,43,42,29.7,3.6,8.7,.408,1.8,5.0,.362,1.8,3.8,.469,.511,1.8,2.2,.813,0.4,2.1,2.5,7.7,1.0,0.2,1.7,2.2,10.7
Mike Conley,PG,35,MIN,7,7,30.9,3.4,8.6,.400,1.9,5.1,.361,1.6,3.4,.458,.508,0.6,0.7,.800,0.6,2.6,3.1,5.4,1.3,0.1,1.3,1.6,9.3
Pat Connaughton,SG,30,MIL,44,27,25.0,2.9,7.5,.389,2.0,5.8,.348,0.9,1.7,.526,.523,0.4,0.7,.600,0.8,4.2,5.0,1.3,0.7,0.1,0.6,1.1,8.3
Robert Covington,PF,32,LAC,38,0,16.4,2.0,4.8,.415,1.0,3.0,.342,1.0,1.8,.536,.522,0.7,0.9,.735,0.7,3.0,3.6,1.2,0.7,0.8,0.6,1.9,5.7
Torrey Craig,SF,32,PHO,61,49,25.6,2.9,6.5,.451,1.3,3.2,.403,1.6,3.3,.498,.550,0.4,0.6,.730,2.1,3.7,5.7,1.5,0.7,0.6,1.0,2.4,7.6
Jae Crowder,SF,32,MIL,4,0,19.3,2.0,4.0,.500,1.5,3.0,.500,0.5,1.0,.500,.688,0.5,1.0,.500,0.5,2.5,3.0,1.5,0.8,0.0,0.5,2.5,6.0
Jarrett Culver,SG,23,ATL,10,1,13.7,1.7,4.3,.395,0.1,1.2,.083,1.6,3.1,.516,.407,0.9,1.3,.692,1.0,2.8,3.8,0.6,0.6,0.2,0.7,1.4,4.4
Cade Cunningham,PG,21,DET,12,12,33.3,7.8,18.7,.415,1.4,5.1,.279,6.3,13.6,.466,.453,3.0,3.6,.837,1.0,5.2,6.2,6.0,0.8,0.6,3.3,2.8,19.9
Seth Curry,SG,32,BRK,45,6,21.9,3.8,8.1,.466,1.7,4.3,.406,2.0,3.8,.532,.573,0.8,0.8,.972,0.3,1.5,1.8,1.9,0.7,0.2,1.0,1.8,10.1
Stephen Curry,PG,34,GSW,38,38,34.6,9.8,19.8,.495,4.9,11.4,.427,4.9,8.4,.588,.619,5.0,5.4,.922,0.6,5.8,6.3,6.4,1.0,0.4,3.2,2.2,29.4
